[04:56:45] 🏗️ 建立自己的完整資料庫
[04:56:45]    探測最新 ID...
[04:56:46]    最新 ID: 37308
[04:56:46]    需要抓: 37308 篇
[04:57:46]    100/37308 (0.3%) | 已抓 78 篇 | 錯誤 22 | 速度 1.7/秒 | 剩 ~372 分鐘
[04:58:47]    200/37308 (0.5%) | 已抓 168 篇 | 錯誤 32 | 速度 1.7/秒 | 剩 ~373 分鐘
[04:59:47]    300/37308 (0.8%) | 已抓 237 篇 | 錯誤 63 | 速度 1.7/秒 | 剩 ~371 分鐘
[05:00:49]    400/37308 (1.1%) | 已抓 319 篇 | 錯誤 81 | 速度 1.6/秒 | 剩 ~373 分鐘
[05:01:50]    500/37308 (1.3%) | 已抓 398 篇 | 錯誤 102 | 速度 1.6/秒 | 剩 ~372 分鐘
[05:02:50]    600/37308 (1.6%) | 已抓 476 篇 | 錯誤 124 | 速度 1.6/秒 | 剩 ~372 分鐘
[05:03:52]    700/37308 (1.9%) | 已抓 574 篇 | 錯誤 126 | 速度 1.6/秒 | 剩 ~371 分鐘
[05:04:52]    800/37308 (2.1%) | 已抓 665 篇 | 錯誤 135 | 速度 1.6/秒 | 剩 ~370 分鐘
[05:05:53]    900/37308 (2.4%) | 已抓 758 篇 | 錯誤 142 | 速度 1.6/秒 | 剩 ~368 分鐘
[05:06:53]    1000/37308 (2.7%) | 已抓 852 篇 | 錯誤 148 | 速度 1.6/秒 | 剩 ~367 分鐘
[05:07:53]    1100/37308 (2.9%) | 已抓 936 篇 | 錯誤 164 | 速度 1.6/秒 | 剩 ~366 分鐘
[05:08:52]    1200/37308 (3.2%) | 已抓 1012 篇 | 錯誤 188 | 速度 1.7/秒 | 剩 ~364 分鐘
[05:09:52]    1300/37308 (3.5%) | 已抓 1092 篇 | 錯誤 208 | 速度 1.7/秒 | 剩 ~363 分鐘
[05:10:52]    1400/37308 (3.8%) | 已抓 1180 篇 | 錯誤 220 | 速度 1.7/秒 | 剩 ~362 分鐘
[05:11:52]    1500/37308 (4.0%) | 已抓 1261 篇 | 錯誤 239 | 速度 1.7/秒 | 剩 ~360 分鐘
[05:12:50]    1600/37308 (4.3%) | 已抓 1359 篇 | 錯誤 241 | 速度 1.7/秒 | 剩 ~359 分鐘
[05:13:50]    1700/37308 (4.6%) | 已抓 1449 篇 | 錯誤 251 | 速度 1.7/秒 | 剩 ~357 分鐘
[05:14:49]    1800/37308 (4.8%) | 已抓 1543 篇 | 錯誤 257 | 速度 1.7/秒 | 剩 ~356 分鐘
[05:15:48]    1900/37308 (5.1%) | 已抓 1626 篇 | 錯誤 274 | 速度 1.7/秒 | 剩 ~355 分鐘
[05:16:47]    2000/37308 (5.4%) | 已抓 1722 篇 | 錯誤 278 | 速度 1.7/秒 | 剩 ~353 分鐘
[05:17:46]    2100/37308 (5.6%) | 已抓 1811 篇 | 錯誤 289 | 速度 1.7/秒 | 剩 ~352 分鐘
[05:18:46]    2200/37308 (5.9%) | 已抓 1900 篇 | 錯誤 300 | 速度 1.7/秒 | 剩 ~351 分鐘
[05:19:45]    2300/37308 (6.2%) | 已抓 1982 篇 | 錯誤 318 | 速度 1.7/秒 | 剩 ~350 分鐘
[05:20:46]    2400/37308 (6.4%) | 已抓 2056 篇 | 錯誤 344 | 速度 1.7/秒 | 剩 ~349 分鐘
[05:21:48]    2500/37308 (6.7%) | 已抓 2136 篇 | 錯誤 364 | 速度 1.7/秒 | 剩 ~348 分鐘
[05:22:52]    2600/37308 (7.0%) | 已抓 2212 篇 | 錯誤 388 | 速度 1.7/秒 | 剩 ~348 分鐘
[05:23:53]    2700/37308 (7.2%) | 已抓 2288 篇 | 錯誤 412 | 速度 1.7/秒 | 剩 ~348 分鐘
[05:24:52]    2800/37308 (7.5%) | 已抓 2358 篇 | 錯誤 442 | 速度 1.7/秒 | 剩 ~346 分鐘
[05:25:52]    2900/37308 (7.8%) | 已抓 2428 篇 | 錯誤 472 | 速度 1.7/秒 | 剩 ~345 分鐘
[05:26:53]    3000/37308 (8.0%) | 已抓 2501 篇 | 錯誤 499 | 速度 1.7/秒 | 剩 ~344 分鐘
[05:27:55]    3100/37308 (8.3%) | 已抓 2585 篇 | 錯誤 515 | 速度 1.7/秒 | 剩 ~344 分鐘
[05:28:55]    3200/37308 (8.6%) | 已抓 2668 篇 | 錯誤 532 | 速度 1.7/秒 | 剩 ~343 分鐘
[05:29:58]    3300/37308 (8.8%) | 已抓 2753 篇 | 錯誤 547 | 速度 1.7/秒 | 剩 ~342 分鐘
[05:31:01]    3400/37308 (9.1%) | 已抓 2834 篇 | 錯誤 566 | 速度 1.7/秒 | 剩 ~342 分鐘
[05:32:02]    3500/37308 (9.4%) | 已抓 2920 篇 | 錯誤 580 | 速度 1.7/秒 | 剩 ~341 分鐘
[05:33:02]    3600/37308 (9.6%) | 已抓 3000 篇 | 錯誤 600 | 速度 1.7/秒 | 剩 ~340 分鐘
[05:34:05]    3700/37308 (9.9%) | 已抓 3071 篇 | 錯誤 629 | 速度 1.7/秒 | 剩 ~339 分鐘
[05:35:06]    3800/37308 (10.2%) | 已抓 3160 篇 | 錯誤 640 | 速度 1.7/秒 | 剩 ~338 分鐘
[05:36:07]    3900/37308 (10.5%) | 已抓 3238 篇 | 錯誤 662 | 速度 1.7/秒 | 剩 ~337 分鐘
[05:37:10]    4000/37308 (10.7%) | 已抓 3320 篇 | 錯誤 680 | 速度 1.7/秒 | 剩 ~336 分鐘
[05:38:13]    4100/37308 (11.0%) | 已抓 3394 篇 | 錯誤 706 | 速度 1.6/秒 | 剩 ~336 分鐘
[05:39:15]    4200/37308 (11.3%) | 已抓 3476 篇 | 錯誤 724 | 速度 1.6/秒 | 剩 ~335 分鐘
[05:40:17]    4300/37308 (11.5%) | 已抓 3573 篇 | 錯誤 727 | 速度 1.6/秒 | 剩 ~334 分鐘
[05:41:18]    4400/37308 (11.8%) | 已抓 3666 篇 | 錯誤 734 | 速度 1.6/秒 | 剩 ~333 分鐘
[05:42:21]    4500/37308 (12.1%) | 已抓 3734 篇 | 錯誤 766 | 速度 1.6/秒 | 剩 ~332 分鐘
[05:43:21]    4600/37308 (12.3%) | 已抓 3822 篇 | 錯誤 778 | 速度 1.6/秒 | 剩 ~331 分鐘
[05:44:24]    4700/37308 (12.6%) | 已抓 3893 篇 | 錯誤 807 | 速度 1.6/秒 | 剩 ~330 分鐘
[05:45:26]    4800/37308 (12.9%) | 已抓 3975 篇 | 錯誤 825 | 速度 1.6/秒 | 剩 ~330 分鐘
[05:46:29]    4900/37308 (13.1%) | 已抓 4025 篇 | 錯誤 875 | 速度 1.6/秒 | 剩 ~329 分鐘
[05:47:32]    5000/37308 (13.4%) | 已抓 4082 篇 | 錯誤 918 | 速度 1.6/秒 | 剩 ~328 分鐘
[05:48:33]    5100/37308 (13.7%) | 已抓 4157 篇 | 錯誤 943 | 速度 1.6/秒 | 剩 ~327 分鐘
[05:49:34]    5200/37308 (13.9%) | 已抓 4228 篇 | 錯誤 972 | 速度 1.6/秒 | 剩 ~326 分鐘
[05:50:35]    5300/37308 (14.2%) | 已抓 4301 篇 | 錯誤 999 | 速度 1.6/秒 | 剩 ~325 分鐘
[05:51:37]    5400/37308 (14.5%) | 已抓 4376 篇 | 錯誤 1024 | 速度 1.6/秒 | 剩 ~324 分鐘
[05:52:38]    5500/37308 (14.7%) | 已抓 4440 篇 | 錯誤 1060 | 速度 1.6/秒 | 剩 ~323 分鐘
[05:53:39]    5600/37308 (15.0%) | 已抓 4524 篇 | 錯誤 1076 | 速度 1.6/秒 | 剩 ~322 分鐘
[05:54:41]    5700/37308 (15.3%) | 已抓 4604 篇 | 錯誤 1096 | 速度 1.6/秒 | 剩 ~321 分鐘
